119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time   iter    primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64        Int64   Float64      Float64          Int64      Int64       Int64        Int64
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  56 │ LUKSAN17LS     100      0  first_order       0.493161        0.159105        18          0.0      0.000700086         18          18          414           0
  57 │ EIGENCLS      2652      0  max_time          0.196101     1201.96          3332          0.0     11.0995            3332        3309        53521           0
  58 │ INDEFM      100000      0  first_order      -1.00487e7      12.0205          46          0.0      5.90508e-9          46          46          190           0
  59 │ SROSENBR      5000      0  first_order       3.26275e-18     0.052237         9          0.0      5.95188e-8           9           9           24           0
  60 │ MNISTS5LS      494      0  max_time       1427.34         1244.55           372          0.0     28.9596             372         371        12582           0
  61 │ ARGLINA        200      0  first_order     200.0             0.00889707       5          0.0      2.22029e-11          5           5            8           0
  62 │ INDEF         5000      0  max_time         -8.01474e11   1200.01        160335          0.0     70.7107          160335      160334       561022           0
  63 │ SENSORS        100      0  first_order   -2007.28            2.50324        101          0.0      4.12366e-8         101         100          363           0
  64 │ ARWHEAD       5000      0  first_order       1.11e-12        0.0320678        6          0.0      5.84781e-6           6           6           11           0
  65 │ DIXON3DQ     10000      0  first_order       2.88158e-8    202.367           26          0.0      5.53317e-8          26          26       132536           0
  66 │ MNISTS0LS      494      0  first_order     296.001         467.957           40          0.0      0.00164641          40          40         4832           0
  67 │ BDQRTIC       5000      0  first_order   20006.3             0.187031        12          0.0      0.00192663          12          12           75           0
  68 │ DIXMAANH      3000      0  first_order       1.0             0.552607        22          0.0      4.33547e-5          22          18          493           0
  69 │ DIXMAANB      3000      0  first_order       1.0             0.044647         8          0.0      8.37173e-6           8           8           19           0
  70 │ BA-L21LS     34134      0  max_time          3.84057e6    1336.83             9          0.0      1.32623e7            9           8         3021           0
  71 │ POWELLSG      5000      0  first_order       1.14254e-6      0.117135        17          0.0      5.82047e-5          17          17           80           0
  72 │ TRIDIA        5000      0  first_order       2.49567e-14     1.09335          6          0.0      6.69575e-6           6           6         1233           0
  73 │ NCB20         5010      0  first_order   -1456.63           83.3319         877          0.0      5.09728e-7         877         868         4383           0
  74 │ FLETCBV3      5000      0  max_time         -3.59881e8    1200.0          53787          0.0     33.4959           53787       53787       451708           0
  75 │ KSSLS         1000      0  first_order       6.25403e-8      0.624589         8          0.0      0.499163             8           8           14           0
  76 │ CHAINWOO      4000      0  first_order    3554.61          372.601        22295          0.0      5.26728e-5       22295       21707       232135           0
  77 │ LUKSAN11LS     100      0  first_order       3.04409e-13     0.326339       453          0.0      1.15241e-6         453         370         4918           0
  78 │ LUKSAN16LS     100      0  first_order       3.5697          0.024724        11          0.0      2.46325e-5          11           8           49           0
  79 │ DIXMAANP      3000      0  first_order       1.00001         2.74448         37          0.0      3.94362e-5          37          37         2625           0
  80 │ COATING        134      0  first_order       0.505499        0.161416        45          0.0      0.000104511         45          42         1018           0
  81 │ FLETCHCR      1000      0  first_order       5.6635e-19      8.40633       2242          0.0      2.56803e-8        2242        1597        24798           0
  82 │ FMINSURF      5625      0  first_order       1.0            15.7211         151          0.0      1.30087e-8         151         139         3875           0
  83 │ MSQRTALS      1024      0  first_order       4.80001e-16    53.5886          34          0.0      1.48066e-8          34          29        16244           0
  84 │ CURLY10      10000      0  first_order      -1.00316e6    1124.27            50          0.0      1.48817e-8          50          48       467161           0
  85 │ ARGTRIGLS      200      0  first_order       2.79557e-17     1.09153          6          0.0      1.12761e-6           6           6          786           0
  86 │ BOXPOWER     20000      0  first_order       3.33383e-5      0.459841        19          0.0      0.00105199          19          17           69           0
  87 │ DQDRTIC       5000      0  first_order       4.64829e-13     0.0373611        5          0.0      1.38606e-5           5           5           15           0
