119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time   iter    primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64        Int64   Float64      Float64          Int64      Int64       Int64        Int64
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  56 │ LUKSAN17LS     100      0  first_order       0.493161        0.151636        20          0.0      0.00103979          31          20          409           0
  57 │ EIGENCLS      2652      0  max_time          0.00126001   1248.52           295          0.0      0.209496          1660         288        58688           0
  58 │ INDEFM      100000      0  first_order      -9.97806e6      76.7645         426          0.0      4.7359e-7          938         410         1418           0
  59 │ SROSENBR      5000      0  first_order       1.47279e-17     0.0229759        8          0.0      1.70534e-7           9           9           19           0
  60 │ MNISTS5LS      494      0  first_order    1428.0           989.484           86          0.0      0.00274739         277          84        10482           0
  61 │ ARGLINA        200      0  first_order     200.0             0.0100141        4          0.0      9.16169e-14          5           5            8           0
  62 │ INDEF         5000      0  max_time         -4.11815e7    1200.0         242400          0.0    932.898           723736      242303       507399           0
  63 │ SENSORS        100      0  first_order   -2025.0             0.559065        18          0.0      1.01157e-12         57          19           62           0
  64 │ ARWHEAD       5000      0  first_order       1.11e-12        0.0202522        5          0.0      5.85353e-6           6           6           11           0
  65 │ DIXON3DQ     10000      0  first_order       2.62e-15       21.3091          14          0.0      3.68085e-8          15          15        23597           0
  66 │ MNISTS0LS      494      0  first_order     302.001         393.497           48          0.0      0.0022529          138          47         3870           0
  67 │ BDQRTIC       5000      0  first_order   20006.3             0.10969         11          0.0      0.00966041          12          12           63           0
  68 │ DIXMAANH      3000      0  first_order       1.0             0.362088        21          0.0      6.52636e-6          57          20          387           0
  69 │ DIXMAANB      3000      0  first_order       1.0             0.032728         8          0.0      9.24738e-8           9           9           17           0
  70 │ BA-L21LS     34134      0  max_time          8.3222e6     1203.26           258          0.0      1.03525e13        1964         240         1677           0
  71 │ POWELLSG      5000      0  first_order       3.06372e-6      0.0645249       16          0.0      9.75639e-5          17          17           77           0
  72 │ TRIDIA        5000      0  first_order       5.31255e-9      0.541447         7          0.0      0.00230871           8           8          985           0
  73 │ NCB20         5010      0  first_order   -1326.55            9.92967         62          0.0      6.57351e-8         273          61          509           0
  74 │ FLETCBV3      5000      0  max_time         -2.36115e14   1200.0         156667          0.0     37.379           156668      156659       391865           0
  75 │ KSSLS         1000      0  first_order       1.27182e-11     1.22089         17          0.0      0.00711827          18          18           34           0
  76 │ CHAINWOO      4000      0  first_order      94.9272         17.9844         192          0.0      4.68523e-6         519         191        16193           0
  77 │ LUKSAN11LS     100      0  first_order       2.41221e-16     0.233615       318          0.0      2.89931e-7         647         318         8131           0
  78 │ LUKSAN16LS     100      0  first_order       3.5697          0.0181952        9          0.0      6.25734e-5          13          10           38           0
  79 │ DIXMAANP      3000      0  first_order       1.0             2.93919         26          0.0      2.16394e-5          81          25         3614           0
  80 │ COATING        134      0  first_order       0.505499        0.0894272       25          0.0      1.50739e-5          64          25          691           0
  81 │ FLETCHCR      1000      0  first_order       4.19383e-18     8.85873       1445          0.0      7.06204e-8        2511        1445        42925           0
  82 │ FMINSURF      5625      0  first_order       1.0            71.9146        4439          0.0      9.27571e-8       17765        4439        17168           0
  83 │ MSQRTALS      1024      0  max_time          0.0003158    1204.91           803          0.0      0.00994678        4638         802       372379           0
  84 │ CURLY10      10000      0  first_order      -1.00316e6     132.043           15          0.0      9.43042e-7          25          16        87997           0
  85 │ ARGTRIGLS      200      0  first_order       1.45764e-16     1.21849          8          0.0      3.73256e-7           9           9          899           0
  86 │ BOXPOWER     20000      0  first_order       0.00332569      0.0793388        9          0.0      0.000829464         11          10           27           0
  87 │ DQDRTIC       5000      0  first_order       1.73535e-9      0.0243649        5          0.0      0.000498179          6           6           14           0
  88 │ OSCIGRAD    100000      0  first_order       1.56499e-6      1.7218           9          0.0     17.6562              10          10           52           0
  89 │ FLETCHBV      5000      0  max_time         -2.43582e22   1200.0         158851          0.0      3.70144e9       158852      158843       397397           0
  90 │ QING           100      0  first_order       8.64476e-16     0.00251508      10          0.0      3.9637e-7           12          11           90           0
  91 │ ARGLINB        200      0  first_order      99.6255          0.00346208       1          0.0      0.131245             2           2            2           0
  92 │ DIXMAANF      3000      0  first_order       1.0             0.407496        19          0.0      6.91996e-7          69          18          458           0
  93 │ BA-L16LS     66462      0  max_time          1.04036e7    1565.69            17          0.0      1.71011e7           38          16         1545           0
  94 │ MOREBV        5000      0  first_order       1.0304e-11      2.80408          3          0.0      9.96033e-8           4           4         3138           0
  95 │ NONDIA        5000      0  first_order       0.00025697      0.00905299       2          0.0      0.0130842            3           3            4           0
  96 │ MSQRTBLS      1024      0  first_order       5.74817e-13   296.273          433          0.0      6.697e-7          2077         431        91953           0
  97 │ BROWNAL        200      0  first_order       1.55798e-8      0.00347114       2          0.0      0.000770093          3           3            4           0
  98 │ SCURLY10     10000      0  first_order       1.23035e21      0.388768        16          0.0      4.96643e21          17          17          243           0
  99 │ TQUARTIC      5000      0  first_order       8.16415e-24     0.0492849       16          0.0      8.08142e-10         17          17           42           0
 100 │ EXTROSNB      1000      0  first_order       3.96465e-6      1.37967        202          0.0      0.000367552        735         202         2430           0
 101 │ YATP2LS     123200      0  first_order       2.9797e-9      11.7862          27          0.0      0.000109102         33          28           66           0
 102 │ ENGVAL1       5000      0  first_order    5548.67            0.0625191        9          0.0      3.33614e-5          10          10           31           0
 103 │ LUKSAN15LS     100      0  first_order       3.5697          0.0473201        9          0.0      6.54485e-5          23           9           33           0
 104 │ DIXMAANG      3000      0  first_order       1.0             0.321998        17          0.0      3.99254e-7          48          16          343           0
