119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time  iter   primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64       Int64  Float64      Float64          Int64      Int64       Int64        Int64
─────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  57 │ EIGENCLS      2652      0  max_time          0.0               456.153    174          0.0      1.3395             196         176            0         174
  58 │ INDEFM      100000      0  first_order      -1.005e7            58.201     53          0.0      9.87417e-9          59          55            0          53
  59 │ SROSENBR      5000      0  first_order       3.30179e-22         0.116      8          0.0      1.42228e-11         14          10            0           8
  60 │ MNISTS5LS      494      0  max_time          0.0              1206.98      58          0.0      0.00113926          92          60            0          58
  61 │ ARGLINA        200      0  first_order     200.0                 0.668      1          0.0      1.64639e-13          2           3            0           1
  62 │ INDEF         5000      0  small_step        2.12266e17          4.173     75          0.0    632.681               76          77            0          76
  63 │ SENSORS        100      0  first_order   -1987.88                0.545     36          0.0      7.34413e-14         42          38            0          36
  64 │ ARWHEAD       5000      0  first_order       0.0                 0.208      6          0.0      5.76836e-12          7           8            0           6
  65 │ DIXON3DQ     10000      0  first_order       0.0                 0.076      1          0.0      0.0                  2           3            0           1
  66 │ MNISTS0LS      494      0  first_order     296.0              1014.92      47          0.0      2.15561e-6          68          49            0          47
  67 │ BDQRTIC       5000      0  first_order   20006.3                 0.341      9          0.0      2.83093e-6          10          11            0           9
  68 │ DIXMAANH      3000      0  first_order       1.0                 0.516     19          0.0      1.96526e-13         20          21            0          19
  69 │ DIXMAANB      3000      0  first_order       1.0                 0.264     11          0.0      1.97381e-11         12          13            0          11
  70 │ BA-L21LS     34134      0  max_time          0.0               786.374    375          0.0  48497.6                601         377            0         375
  71 │ POWELLSG      5000      0  first_order       8.33298e-9          0.289     19          0.0      2.9373e-8           20          21            0          19
  72 │ TRIDIA        5000      0  first_order       7.52907e-25         0.047      1          0.0      1.36868e-11          2           3            0           1
  73 │ NCB20         5010      0  first_order   -1458.83               25.95     157          0.0      1.23347e-9         204         159            0         157
